action_conflict_count,action_id,contradiction_pixels_informative_but_zero_weight,maximum_competitor_difference_digest,nearest_competitor_difference_digest,nearest_conflicting_action_difference_digest,per_pixel_differing_digest,per_pixel_sharing_digest,positive_action_conflict_separation_count,positive_separation_weight_count,row_id,row_informative_pixel_count,row_informative_stable_count,row_informative_stable_positive_separation_count,stable_pixel_count
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:2d8e372e8d8ea359ae2df40e615e5e517ddbbf5cc3ee3786a2141c6db26aafa0,sha256:e03dff62af4c1ff3f5ac962176caf2ec2004421c79e32573853b1f6efd07c060,0,0,tank=0|target=5|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:2d8e372e8d8ea359ae2df40e615e5e517ddbbf5cc3ee3786a2141c6db26aafa0,sha256:e03dff62af4c1ff3f5ac962176caf2ec2004421c79e32573853b1f6efd07c060,0,0,tank=0|target=5|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:cba022339a15209df767390c1938d99151d17a9e259879e1bd4543c607c3424d,sha256:0a3e24964e1be65d383e2e2dc0613a339c23ec3b9a8c593af8c9fdbb683df035,0,0,tank=0|target=6|cooldown=0,109,100,0,434
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:cba022339a15209df767390c1938d99151d17a9e259879e1bd4543c607c3424d,sha256:0a3e24964e1be65d383e2e2dc0613a339c23ec3b9a8c593af8c9fdbb683df035,0,0,tank=0|target=6|cooldown=1,109,100,0,434
109,STAY,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:bc19f659826cf21378fffabbe288b8fd5eca9ff311750ea05099ccaac06dd728,sha256:ae6e2a41f82a791211f619b05b84046555c4caef8fca354a23af2023d473e8c2,0,0,tank=0|target=none|cooldown=0,109,103,0,438
109,STAY,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:bc19f659826cf21378fffabbe288b8fd5eca9ff311750ea05099ccaac06dd728,sha256:ae6e2a41f82a791211f619b05b84046555c4caef8fca354a23af2023d473e8c2,0,0,tank=0|target=none|cooldown=1,109,103,0,438
109,LEFT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:5adbbaa020c93db9b6f39dde49d9fa6828375f0be8b7075108f3ba1f882c25b4,sha256:e5cd39ee1944e0cafab34ba01613a935fa59fd6b3c98ee9962f534f4b5fd3646,0,0,tank=1|target=0|cooldown=0,109,100,0,432
109,LEFT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:5adbbaa020c93db9b6f39dde49d9fa6828375f0be8b7075108f3ba1f882c25b4,sha256:e5cd39ee1944e0cafab34ba01613a935fa59fd6b3c98ee9962f534f4b5fd3646,0,0,tank=1|target=0|cooldown=1,109,100,0,432
109,FIRE,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:f41fe2a8450750cd9864e1a09de809e8054171ed2d96cf773bbf0c3d5ed7bc0a,sha256:8c57310fac30c343833db88914c10b7f350044fbcd7f9a0ced98a16ab0da9991,0,0,tank=1|target=1|cooldown=0,109,100,0,432
109,STAY,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:f41fe2a8450750cd9864e1a09de809e8054171ed2d96cf773bbf0c3d5ed7bc0a,sha256:8c57310fac30c343833db88914c10b7f350044fbcd7f9a0ced98a16ab0da9991,0,0,tank=1|target=1|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:6921569b23d930b24e31562346c68a4c57a80c37ae8ca56736d00b07e88f577a,sha256:776b24e6e5e486372fc20479cc66257151d35c8d850a8ab3395400b06844b070,0,0,tank=1|target=2|cooldown=0,109,100,0,432
