action_conflict_pixel_count,action_id,closure_failure_reason,closure_status,development_family_ids,development_observation_count,effective_informative_stable_mass,informative_pixel_count,mask_payload_digest,prototype_present,row_id,stable_pixel_count
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:5245febf6fde10de54f61ae36068d2b4a2f70f216b8515e514c6745544d8e77d,True,tank=1|target=4|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:dd6ca22693e8e5a5e9ab6396f5002fe5f82720c66e3db59b9f28577f6bcd05f6,True,tank=1|target=5|cooldown=0,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:4b4c7fc979be28fa16db3873efbcc1537bc11ee4a0c745e9ab54756df27aae53,True,tank=1|target=5|cooldown=1,432
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47306,109,sha256:03fe0e8e1d0f1c843756f6eb33eae1b2e72ee9134d069c6439a7f5c6b27867df,True,tank=1|target=6|cooldown=0,434
109,RIGHT,,closed,"[""development_photometric"", ""development_shift""]",2,47306,109,sha256:602e1eedc397e202f2fcd7c18eb06bd62ae19085c71a9e382d8d5dcb1364ac43,True,tank=1|target=6|cooldown=1,434
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47742,109,sha256:6cfdc14c72d7cee2d89df5cff14100f4eb8a759cf02213df1e9eb50d83d49e36,True,tank=1|target=none|cooldown=0,438
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47742,109,sha256:23a2bea01c7de6ab69d2e59ebbad0cb907754a059c1f7c8236316fe51928a163,True,tank=1|target=none|cooldown=1,438
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:1d5df29649c81049ac32f3ccca920892ed543cc2f7ab5265a667103484782b1a,True,tank=2|target=0|cooldown=0,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:7a862bbdae6289be528b12f6e28e02b5d1a5e0835c8b019b5337a96229bc238b,True,tank=2|target=0|cooldown=1,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:7d251fe2407716d26962b14cbb4dacc3e6e9e3641dc75c0f5ddc51e55a53b062,True,tank=2|target=1|cooldown=0,432
109,LEFT,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:d7455d685ed0a0d85cf110bc0c13980c26e01b43ea5b31fcf4b44d48711301d0,True,tank=2|target=1|cooldown=1,432
109,FIRE,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:58ea6370f19caf4be0a464ef2915b7222f3472b81d11eb199f1203d8376b4ebe,True,tank=2|target=2|cooldown=0,432
109,STAY,,closed,"[""development_photometric"", ""development_shift""]",2,47088,109,sha256:d7ac53325438c838693181f209635c636865228fce8a5001359a80c8098684f5,True,tank=2|target=2|cooldown=1,432
