distribution,namespace,exported_symbol,owning_module,object_kind,source_module,is_reexport
zeromodel-analysis,zeromodel.analysis,ManifoldSummary,zeromodel.analysis,Class,zeromodel.analysis.manifold,true
zeromodel-analysis,zeromodel.analysis,ManifoldTransition,zeromodel.analysis,Class,zeromodel.analysis.manifold,true
zeromodel-analysis,zeromodel.analysis,MatrixPatternDetector,zeromodel.analysis,Class,zeromodel.analysis.patterns,true
zeromodel-analysis,zeromodel.analysis,OBJECTIVE_IDS,zeromodel.analysis,Constant,zeromodel.analysis,false
zeromodel-analysis,zeromodel.analysis,ObjectiveResult,zeromodel.analysis,Class,zeromodel.analysis.patterns,true
zeromodel-analysis,zeromodel.analysis,PATTERN_CHECKER_VERSION,zeromodel.analysis,Constant,zeromodel.analysis,false
zeromodel-analysis,zeromodel.analysis,PATTERN_METHOD,zeromodel.analysis,Constant,zeromodel.analysis,false
zeromodel-analysis,zeromodel.analysis,PHOSResult,zeromodel.analysis,Class,zeromodel.analysis.phos,true
zeromodel-analysis,zeromodel.analysis,PatternAnalysisSpec,zeromodel.analysis,Class,zeromodel.analysis.patterns,true
zeromodel-analysis,zeromodel.analysis,PatternDiscoveryArtifacts,zeromodel.analysis,Class,zeromodel.analysis.patterns,true
zeromodel-analysis,zeromodel.analysis,PatternReport,zeromodel.analysis,Class,zeromodel.analysis.patterns,true
zeromodel-analysis,zeromodel.analysis,Policy,zeromodel.analysis,Class,zeromodel.analysis.controller,true
zeromodel-analysis,zeromodel.analysis,PolicyPropertyChecker,zeromodel.analysis,Class,zeromodel.analysis.policy_properties,true
zeromodel-analysis,zeromodel.analysis,PolicyPropertyResult,zeromodel.analysis,Class,zeromodel.analysis.policy_properties,true
zeromodel-analysis,zeromodel.analysis,PolicyPropertySpec,zeromodel.analysis,Class,zeromodel.analysis.policy_properties,true
zeromodel-analysis,zeromodel.analysis,PolicyPropertyViolation,zeromodel.analysis,Class,zeromodel.analysis.policy_properties,true
zeromodel-analysis,zeromodel.analysis,PolicyVerificationReport,zeromodel.analysis,Class,zeromodel.analysis.policy_properties,true
zeromodel-analysis,zeromodel.analysis,REPORT_METRICS,zeromodel.analysis,Constant,zeromodel.analysis,false
zeromodel-analysis,zeromodel.analysis,Signal,zeromodel.analysis,Class,zeromodel.analysis.controller,true
zeromodel-analysis,zeromodel.analysis,SpatialOptimizationResult,zeromodel.analysis,Class,zeromodel.analysis.spatial,true
