benchmark_digest,benchmark_version,calibration_split_available,clip_ids_available,eligible_for_conformal_rescore,eligible_for_reachability_replay,eligible_for_score_gap_rescore,eligible_for_top1_action_rescore,eligible_for_top_k_rescore,episode_ids_available,evaluation_split_available,evidence_digest,executed_actions_available,expected_actions_available,frame_order_available,full_112_score_vector_available,higher_or_lower_is_better,historical_final_data_already_unblinded,ineligibility_reasons,information_theoretic_controls_identified,negative_split_available,notes,ordered_full_ranking_available,policy_artifact_id,provider_contract_digest,provider_family,provider_reproducible_from_committed_code,raw_observation_pixels_available,recommended_actions_available,reproduction_command,row_to_action_map_available,score_range,score_semantics,source_commit,source_result_directory,system_id,system_version,top_1_only,top_k_available,version
sha256:0e75c93780c35b7391882e7b39c888a3a1736444cc71932b9b1b41cdf1e90c42,unknown,True,False,False,False,False,True,False,False,True,sha256:b56de1b4a372124e0c3aa34b1f3c8be6623273e0f6df15dbe411a25a9a12a26f,False,True,False,top1_only,higher,True,"[""missing_sequence_order"", ""missing_executed_actions""]",True,True,"{""policy_artifact_match"": true}",top1_only,eb7523f406b45ac30b478fe9528db8f89a548693b0add2fc8d3e51c4badd857e,c914f528629a94ad7b1c6caab5154d6e0b0615bc7c5a1835cad626e7eec991ba,normalized_pixel_reader,True,False,False,,True,provider-specific,similarity,4790165de78557fce63d64e5f2b7ddfde04f1e98,docs/results/visual-address-system-b-v2,system-b-v2,unknown,True,top1_only,zeromodel-video-retrospective-evidence-inventory/v1
sha256:358d2c872366e858597c2c9ca7949f71935b0152e259d91131b34677138ebe9e,unknown,True,False,False,False,False,True,False,False,True,sha256:b38681018e3587837fbc4c4241ad341ebbed1342c57b8c8c60727042c1899166,False,True,False,top1_only,higher,True,"[""missing_sequence_order"", ""missing_executed_actions""]",False,True,"{""policy_artifact_match"": true}",top1_only,eb7523f406b45ac30b478fe9528db8f89a548693b0add2fc8d3e51c4badd857e,b3efc2a4687ba97a5b899961a8d3b53b91f1e0f2c73afc7bde92a1bb8e805265,registration_plus_local_correlation,True,False,False,,True,provider-specific,similarity,4790165de78557fce63d64e5f2b7ddfde04f1e98,docs/results/visual-local-baseline-showdown-v1,r1-local-correlation,unknown,True,top1_only,zeromodel-video-retrospective-evidence-inventory/v1
sha256:27dfbea50adec996965a3ca237113ff936a518bb634818eb35fa994cde49fc8f,zeromodel-video-policy-reader-stage2/v1,True,True,False,True,False,False,False,False,True,sha256:9e8e64f8f7aae39b09a6ffddf6751f5c1efa4c29eae6c122be76dfdd0d2f90ab,True,True,True,aggregate_only,mixed,True,[],False,True,"{""policy_artifact_match"": true}",aggregate_only,eb7523f406b45ac30b478fe9528db8f89a548693b0add2fc8d3e51c4badd857e,sha256:bc05883db949e5908990ca9aa0e56da905c1095105845745ba47a8471ba910f7,stage3_v1_provider,False,False,True,,True,provider-specific,distance_then_threshold,4790165de78557fce63d64e5f2b7ddfde04f1e98,docs/results/video-policy-reader-v1,stage3-v1,zeromodel-video-policy-reader-stage2/v1,False,aggregate_only,zeromodel-video-retrospective-evidence-inventory/v1
sha256:5dd0839d145c9c614fdf10c44887b81865b19ea2e2a09d74ede5671fba1f111f,zeromodel-video-discriminative-evidence-stage3/v2,True,False,False,False,False,True,False,False,False,sha256:13654406e78e4e550b581c7b508dda1e6a0f1444d284fe090803d73c1df0644a,False,False,False,recomputed_from_frozen_committed_artifacts,higher,False,"[""missing_sequence_order"", ""missing_executed_actions""]",True,True,"{""policy_artifact_match"": true}",recomputed_from_frozen_committed_artifacts,eb7523f406b45ac30b478fe9528db8f89a548693b0add2fc8d3e51c4badd857e,sha256:a24730295dbd2c577efb46bf3b3342a5020aeedd414ac4a5cc0a997748b03a7c,stage3_v2_provider,True,False,False,python examples/arcade_visual_video_discriminative_evidence_benchmark.py --freeze-benchmark-v2,True,provider-specific,similarity,6e1e18a8613085b63040283ac3b785b183294357,docs/results/video-discriminative-local-evidence-v2,stage3-v2,zeromodel-video-discriminative-evidence-stage3/v2,False,recomputed_from_frozen_committed_artifacts,zeromodel-video-retrospective-evidence-inventory/v1
sha256:d63790d9c8f3e84c2f2e97b66ee7ff03d42b4bd68c87c894f3b32b01abb428e3,zeromodel-video-discriminative-evidence-stage3/v3,True,False,False,False,False,True,False,False,False,sha256:c35c2d472ab5aa1c260ca1f61f739c00b5b0fd6be5778406f3bbabbbf0d53b53,False,False,False,recomputed_from_frozen_committed_artifacts,higher,False,"[""missing_sequence_order"", ""missing_executed_actions""]",True,True,"{""policy_artifact_match"": true}",recomputed_from_frozen_committed_artifacts,eb7523f406b45ac30b478fe9528db8f89a548693b0add2fc8d3e51c4badd857e,sha256:5cb4ea6b5a113c1a2dcc997445c5af013a056210ea50e00a64a185d94a5cf316,stage3_v3_b3_provider,True,False,False,python examples/arcade_visual_video_discriminative_evidence_benchmark.py --freeze-benchmark-v3,True,provider-specific,similarity,ad2093590cde95ad1dc984f0573f452693002717,docs/results/video-discriminative-local-evidence-v3,stage3-v3-b3,zeromodel-video-discriminative-evidence-stage3/v3,False,recomputed_from_frozen_committed_artifacts,zeromodel-video-retrospective-evidence-inventory/v1
