family,low_visibility_count,mean_distance,mean_overlap_fraction,mean_visible_fraction,min_overlap_fraction,min_visible_fraction,region_id
bounded_translation_occlusion,8,0.0,0.8181818181818182,0.8181818181818182,0.5,0.5,cooldown_indicator
bounded_translation_occlusion,0,0.00013091912806299048,0.987012987012987,0.987012987012987,0.9642857142857143,0.9642857142857143,tank_band
bounded_translation_occlusion,2,0.3158169278637098,0.9556277056277057,0.9556277056277057,0.6190476190476191,0.6190476190476191,target_band
bounded_translation_photometric,22,0.0,0.5,0.5,0.5,0.5,cooldown_indicator
bounded_translation_photometric,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,tank_band
bounded_translation_photometric,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,target_band
critical_evidence_removed,22,0.0,0.5,0.5,0.5,0.5,cooldown_indicator
critical_evidence_removed,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,tank_band
critical_evidence_removed,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,target_band
exact_frames,22,0.0,0.5,0.5,0.5,0.5,cooldown_indicator
exact_frames,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,tank_band
exact_frames,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,target_band
reordered_frames,22,0.0,0.5,0.5,0.5,0.5,cooldown_indicator
reordered_frames,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,tank_band
reordered_frames,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,target_band
stale_repeated_pixels,22,0.0,0.5,0.5,0.5,0.5,cooldown_indicator
stale_repeated_pixels,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,tank_band
stale_repeated_pixels,0,0.0,0.9642857142857145,0.9642857142857145,0.9642857142857143,0.9642857142857143,target_band
