variant_id,recipe_id,run_id,exact_count,action_equivalent_count,action_changing_count,rejected_count,action_correct_count,latency_median_us,latency_p95_us
cooldown-dual-v1,sha256:69f74cd8792f3f284cdfc8c5d95d49e25aaced68f42f0f1880eb8c290a0cf7f7,sha256:66b86fe62c6551339d3b28acf34398767fb08ed2dd6604adb99680c8f108fd38,3,4,1,0,7,1946052,2173042
cooldown-redundant-v1,sha256:2d9de1ead619b1184b4a9a59c832d215eeda51351560b31f40c5097e388d6ab3,sha256:a81c09fa0b736f014ffda7fdb64d4cec2d0c4c5ce1d64a2dd704be0c400e8a84,3,3,2,0,6,2008380,2053426
cooldown-shape-v1,sha256:3b7989211402a39e423b2c8bb6784ea9bb7fa8bbb5a6b51429bf12c3a9f02e70,sha256:bc5074d552d3039de1f738b3e03bdd35553ad92cbe9228c7a3a4d07f0458de87,4,3,1,0,7,1957883,3164967
labelled-v1,sha256:393c0e10adf416fc1f7f3305fe7db33d04776f063bf7c23be06501d036c147b0,sha256:c2b9d1e48aea9b2b442bd124e7867d17582f590e18bb76346cd37d7a77fe0022,8,0,0,0,8,2080155,6454331
lane-enhanced-v1,sha256:87420173e2c9e61006e27353edd061d18a09fd87c6465d55dcc8d12eedda71ca,sha256:c00fb4cdbe36d5092132e4171436549f61814b305ff0633f43c20bf58db74e76,2,3,2,1,5,1997680,2039776
unlabelled-v1,sha256:6785eea0347b07f400ed2f791c956a56579ef1f311e43260c4f027a768d5e72c,sha256:aeebada422bc228c26409a60cf1fb3f8d2688d2f373259617682fb6a75988ade,3,4,1,0,7,2047138,2181562
